zips,city,neighborhoods,lat,lng
78719,Austin,Del Valle,30.2108,-97.6547
78728,Austin,McNeil,30.453,-97.7206
78728,Austin,Wells Branch,30.4432,-97.6792
78734,Austin,Hudson Bend,30.4139,-97.928
78735,Austin,Oak Hill,30.2355,-97.86
78735,Austin,Barton Creek,30.2818,-97.8681
78737,Austin,Bear Creek,30.1826,-97.94
78738,Austin,Bee Cave,30.3087,-97.9619
78738,Austin,The Hills,30.3464,-97.9864
78746,Austin,West Lake Hills,30.2919,-97.8084
78746,Austin,Lost Creek,30.2955,-97.8445
78746,Austin,Rollingwood,30.2736,-97.7867
78748,Austin,Tanglewood Forest,30.1747,-97.8392
78750,Austin,Jollyville,30.4427,-97.775
